Sample label,Sample name,Location,Source type,Reservoir temperature (°C),pH,EC (microS/cm),K (mg/l),Na (mg/l),Boron (mg/l),SiO2 (mg/l),Cl (mg/l)
1,Derman,Balikesir,Thermal spring,103,8.8,1160,4,227,1.4,50,62
2,Gönen,Balikesir,Thermal spring,146a,8.5,2000,21,430,7.1,132,265
3,Samli,Balikesir,Thermal spring,107a,9.0,1440,4,230,2.0,56,845
4,Bozören,Balikesir,Thermal spring,67a,7.2,960,4,40,0.15,19,33
5,Gümeli,Balikesir,Thermal spring,88a,7.5,580,5,23,0.2,34,13
6,Kaynarca,Bursa,Thermal spring,91a,6.9,1349,18,198,1.8,38,8
7,Zeynine,Bursa,Thermal spring,87a,7.1,558,5,36,0.0,33,7
8,Dümbüldek,Bursa,Thermal spring,131a,6.8,1900,72,440,1.7,96,62
9,Esref Efendi,Bursa,Thermal spring,126a,7.0,1215,15,168,1.9,87,9
10,Küplüce,Bursa,Thermal spring,87a,7.1,582,4,25,0.2,34,3
11,Zeynine2,Bursa,Thermal spring,90a,7.0,557,4,23,0.3,36,3
12,Horhor,Bursa,Thermal spring,88a,7.1,568,4,24,0.2,34,3
13,Karacakaya,Bursa,Thermal spring,50a,6.9,400,2,20,0.0,11,5
14,Ilicaksu,Bursa,Thermal spring,91a,7.4,490,3,24,0.0,37,9
15,Sadag,Bursa,Thermal spring,118,7.1,1500,7,220,0.0,72,29
16,Agaçhisar,Bursa,Thermal spring,85a,6.7,1250,3,15,0.0,32,10
17,Küçütçetmi,Çanakkale,Thermal spring,102a,7.2,800,2,134,0.2,49,27
18,Topraklar,Çanakkale,Thermal spring,91a,8.3,1700,5,320,1.3,38,81
19,Çan,Çanakkale,Thermal spring,73a,8.1,3300,24,550,5.0,23,234
20,Etili,Çanakkale,Thermal spring,57a,7.4,1900,15,590,0.0,14,93
21,Tekkehamam,Denizli,Thermal spring,171a,7.9,3700,64,530,0.0,210,90
22,SP1,Denizli,Thermal spring,185,6.9,4870,94,865,17,270,95
23,SP2,Denizli,Thermal spring,154a,7.9,3680,114,870,11,155,85
24,SP3,Denizli,Thermal spring,183a,6.9,3000,86,686,16,259,78
25,SP4,Denizli,Thermal spring,154a,6.5,3980,75,586,10,154,73
26,SP6,Denizli,Thermal spring,159a,6.4,4730,50,535,9,170,134
27,SP8,Denizli,Thermal spring,146a,6.2,3850,65,583,8.6,132,145
28,In magarasi,Denizli,Thermal spring,206a,6.5,4401,73,564,13.0,375,87
29,Yenicehamami,Denizli,Thermal spring,133a,5.8,1950,42,260,3.2,100,34
30,Gölemezli,Denizli,Thermal spring,156a,6.3,2700,56,540,7.5,160,90
31,Karahayit,Denizli,Thermal spring,106a,6.3,2880,21,120,2.2,55,29
32,Pamukkale Mis,Denizli,Thermal spring,97a,7.7,2500,22,130,2.7,43,34
33,Pamukkale Kayna,Denizli,Thermal spring,106a,6.2,2340,48,38,0.9,55,15
34,Babacik,Denizli,Thermal spring,148,6.2,3120,113,860,9.2,136,93
35,Balçova,Ízmir,Thermal spring,133a,8.1,1388,41,239,8.5,100,142
35,Doganbey,Izmir,Thermal spring,102a,7.6,"10,330",155,1810,9.4,49,3150
36,Dikili Çoban,Ízmir,Thermal spring,125a,9.1,2590,33,575,9.0,85,98
37,Dikili Kocaoba,Izmir,Thermal spring,122a,8.7,2360,11,310,0.4,80,43
38,Dikili Güzellik,Ízmir,Thermal spring,103a,8.9,3600,5,375,1.0,51,37
39,Bayindir,Ízmir,Thermal spring,109a,6.7,970,9,240,0.7,58,18
40,Urganli,Manisa,Thermal spring,111a,8.4,1650,46,520,8.9,62,71
41,Urganli Uyuz,Manisa,Thermal spring,113a,8.0,1755,48,560,7.4,64,71
42,Urganli Kuru,Manisa,Thermal spring,94a,8.4,1770,48,540,8.7,40,76
43,Urganli Garkin,Manisa,Thermal spring,105a,7.0,2260,65,503,13.6,53,62
44,Sart,Manisa,Thermal spring,118a,7.6,907,24,198,16.0,72,37
45,Sarikiz,Manisa,Thermal spring,79a,8.0,1558,13,240,17.4,27,58
46,Saraycik,Manisa,Thermal spring,153a,7.2,3800,106,1020,11.0,150,127
47,Bozöyük,Mugla,Thermal spring,115a,7.9,1400,19,148,0.7,68,38
48,KD42,Denizli,Well,244b,8.5,5480,191,1464,30,460,144
49,KD46,Denizli,Well,181b,8.2,5090,99,1332,19,261,212
50,KD45,Denizli,Well,232b,7.9,5770,140,1513,33,492,212
51,KD50,Denizli,Well,218b,7.3,5370,140,1389,29,444,248
52,KD55,Denizli,Well,236b,7.5,5890,140,1508,31,503,326
53,KD15,Denizli,Well,206b,8.7,4790,118,1225,19,257,99
54,KD16,Denizli,Well,209b,8.6,4840,125,1240,19,258,99
55,KD20,Denizli,Well,204b,8.8,4950,128,1273,20,310,101
