Sample label,Sample name,Source type,Reservoir temperature (°C)
67,Ímamköy,Thermal spring,97
68,Güre,Thermal spring,92
69,Ayvalik Ilica,Thermal spring,83
70,Sindirgi,Thermal spring,53
71,Kükürtlü,Thermal spring,94
72,Oylat,Thermal spring,96
73,Hidirlar,Thermal spring,103
74,SP9,Thermal spring,164
75,Tekkehamam2,Thermal spring,156
76,Kükürtlü,Thermal spring,83
77,Tekkeköy,Thermal spring,183
78,KD54,Well,225
79,KD14,Well,208
80,KD22,Well,201
81,R6,Well,207
82,R5A,Well,230
83,K5,Thermal spring,190
