Sample label,Sample name,Location,Source type,Reservoir temperature (°C),pH,EC (microS/cm),K (mg/l),Na (mg/l),Boron (mg/l),SiO2 (mg/l),Cl (mg/l),Temperature source,Dataset,Geothermometry
1,Derman,Balikesir,Thermal spring,103.0,8.8,1160.0,4.0,227.0,1.4,50.0,62.0,Calculated,Training,102.55691938323645
2,Gönen,Balikesir,Thermal spring,146.0,8.5,2000.0,21.0,430.0,7.1,132.0,265.0,Calculated,Training,146.20004905766638
3,Samli,Balikesir,Thermal spring,107.0,9.0,1440.0,4.0,230.0,2.0,56.0,845.0,Calculated,Training,107.17771411330835
4,Bozören,Balikesir,Thermal spring,67.0,7.2,960.0,4.0,40.0,0.15,19.0,33.0,Calculated,Training,67.24725485143034
5,Gümeli,Balikesir,Thermal spring,88.0,7.5,580.0,5.0,23.0,0.2,34.0,13.0,Calculated,Training,87.63994748862928
6,Kaynarca,Bursa,Thermal spring,91.0,6.9,1349.0,18.0,198.0,1.8,38.0,8.0,Calculated,Training,91.81906941453695
7,Zeynine,Bursa,Thermal spring,87.0,7.1,558.0,5.0,36.0,0.0,33.0,7.0,Calculated,Training,86.53451233798421
8,Dümbüldek,Bursa,Thermal spring,131.0,6.8,1900.0,72.0,440.0,1.7,96.0,62.0,Calculated,Training,130.806891309842
9,Esref Efendi,Bursa,Thermal spring,126.0,7.0,1215.0,15.0,168.0,1.9,87.0,9.0,Calculated,Training,126.27466604665062
10,Küplüce,Bursa,Thermal spring,87.0,7.1,582.0,4.0,25.0,0.2,34.0,3.0,Calculated,Training,87.63994748862928
11,Zeynine2,Bursa,Thermal spring,90.0,7.0,557.0,4.0,23.0,0.3,36.0,3.0,Calculated,Training,89.77555680958591
12,Horhor,Bursa,Thermal spring,88.0,7.1,568.0,4.0,24.0,0.2,34.0,3.0,Calculated,Training,87.63994748862928
13,Karacakaya,Bursa,Thermal spring,50.0,6.9,400.0,2.0,20.0,0.0,11.0,5.0,Calculated,Training,50.08782771236349
14,Ilicaksu,Bursa,Thermal spring,91.0,7.4,490.0,3.0,24.0,0.0,37.0,9.0,Calculated,Training,90.8082542178999
15,Sadag,Bursa,Thermal spring,118.0,7.1,1500.0,7.0,220.0,0.0,72.0,29.0,Unknown,Training,117.84152409103945
16,Agaçhisar,Bursa,Thermal spring,85.0,6.7,1250.0,3.0,15.0,0.0,32.0,10.0,Calculated,Training,85.40212604133393
17,Küçütçetmi,Çanakkale,Thermal spring,102.0,7.2,800.0,2.0,134.0,0.2,49.0,27.0,Calculated,Training,101.74495305741016
18,Topraklar,Çanakkale,Thermal spring,91.0,8.3,1700.0,5.0,320.0,1.3,38.0,81.0,Calculated,Training,91.81906941453695
19,Çan,Çanakkale,Thermal spring,73.0,8.1,3300.0,24.0,550.0,5.0,23.0,234.0,Calculated,Training,73.68354703751277
20,Etili,Çanakkale,Thermal spring,57.0,7.4,1900.0,15.0,590.0,0.0,14.0,93.0,Calculated,Training,57.44129615135154
21,Tekkehamam,Denizli,Thermal spring,171.0,7.9,3700.0,64.0,530.0,0.0,210.0,90.0,Calculated,Training,170.86906973271647
22,SP1,Denizli,Thermal spring,185.0,6.9,4870.0,94.0,865.0,17.0,270.0,95.0,Unknown,Training,185.4721242215458
23,SP2,Denizli,Thermal spring,154.0,7.9,3680.0,114.0,870.0,11.0,155.0,85.0,Calculated,Training,154.41792794926295
24,SP3,Denizli,Thermal spring,183.0,6.9,3000.0,86.0,686.0,16.0,259.0,78.0,Calculated,Training,182.98926705673125
25,SP4,Denizli,Thermal spring,154.0,6.5,3980.0,75.0,586.0,10.0,154.0,73.0,Calculated,Training,154.08055510862164
26,SP6,Denizli,Thermal spring,159.0,6.4,4730.0,50.0,535.0,9.0,170.0,134.0,Calculated,Training,159.291514841155
27,SP8,Denizli,Thermal spring,146.0,6.2,3850.0,65.0,583.0,8.6,132.0,145.0,Calculated,Training,146.20004905766638
28,In magarasi,Denizli,Thermal spring,206.0,6.5,4401.0,73.0,564.0,13.0,375.0,87.0,Calculated,Training,206.0738615369077
29,Yenicehamami,Denizli,Thermal spring,133.0,5.8,1950.0,42.0,260.0,3.2,100.0,34.0,Calculated,Training,132.7166666666667
30,Gölemezli,Denizli,Thermal spring,156.0,6.3,2700.0,56.0,540.0,7.5,160.0,90.0,Calculated,Training,156.08054151730835
31,Karahayit,Denizli,Thermal spring,106.0,6.3,2880.0,21.0,120.0,2.2,55.0,29.0,Calculated,Training,106.43545427841264
32,Pamukkale Mis,Denizli,Thermal spring,97.0,7.7,2500.0,22.0,130.0,2.7,43.0,34.0,Calculated,Training,96.57873487704319
33,Pamukkale Kayna,Denizli,Thermal spring,106.0,6.2,2340.0,48.0,38.0,0.9,55.0,15.0,Calculated,Training,106.43545427841264
34,Babacik,Denizli,Thermal spring,148.0,6.2,3120.0,113.0,860.0,9.2,136.0,93.0,Unknown,Training,147.70341482662008
